user,device,time,battery_level,battery_status,battery_health,battery_adaptor
jd9INuQ5BBlW,3p83yASkOb_B,1578529202.925,74,3,2,0
jd9INuQ5BBlW,3p83yASkOb_B,1578529290.406,73,3,2,0
jd9INuQ5BBlW,3p83yASkOb_B,1578529452.806,72,3,2,0
jd9INuQ5BBlW,3p83yASkOb_B,1578530138.561,72,2,2,0
jd9INuQ5BBlW,3p83yASkOb_B,1578530138.953,72,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578530233.282,73,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578530248.366,72,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578530253.743,73,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578530462.887,74,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578530505.263,75,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578530592.424,76,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578530687.287,77,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578530805.93,78,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578530922.381,79,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578531024.632,80,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578531127.985,81,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578531230.397,82,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578531334.862,83,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578531444.497,84,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578531553.562,85,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578531608.485,86,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578531721.37,87,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578531862.685,88,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578531985.677,89,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578532126.715,90,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578532248.642,91,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578532373.542,92,2,2,2
